LAYER ID	 INDIVIDUAL NAME	 ORGANISATION NAME	 POSITION NAME	 PHONE	 DELIVERY POINT	 CITY	 POSTAL CODE	 COUNTRY	 EMAIL	 ROLE
51931	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51931	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
50765	omit	LINZ - Land Information New Zealand	Chief Topographer	04 4600110	155 the Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	resourceProvider	
50765	Omit	LINZ - Land Information New Zealand	Technical Leader, National Topographic Office	0800 665 463 or +64 4 460 0110	155 the Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52108	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52108	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51915	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51915	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
50779	omit	LINZ - Land Information New Zealand	None 	04 4600110	155 The Terrace	Wellington	6011	New Zealand	info@linz.govt.nz	resourceProvider	
50779	Omit	LINZ - Land Information New Zealand	Data Manager - Addressing	+64 4 460 0110	155 The Terrace	Wellington	6011	New Zealand	info@linz.govt.nz	pointOfContact	
51776	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51776	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52107	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52107	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
50225	omit	LINZ - Land Information New Zealand	Chief Topographer	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	resourceProvider	
50225	Omit	LINZ - Land Information New Zealand	Technical Leader, National Topographic Office	0800 665 463 or +64 4 460 0110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53405	None 	LINZ - Land Information New Zealand	Lidar Coordination Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53405	None 	LINZ - Land Information New Zealand	Lidar Coordination Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52106	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52106	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51751	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51751	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51916	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51916	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51927	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51927	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
50818	omit	LINZ - Land Information New Zealand	None 	04 4600110	155 The Terrace	Wellington	6011	New Zealand	info@linz.govt.nz	resourceProvider	
50818	Omit	LINZ - Land Information New Zealand	Data Manager - Addressing	+64 4 460 0110	155 The Terrace	Wellington	6011	New Zealand	info@linz.govt.nz	pointOfContact	
53520	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53520	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51926	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51926	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51908	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51908	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
50223	omit	LINZ - Land Information New Zealand	Chief Topographer	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	resourceProvider	
50223	Omit	LINZ - Land Information New Zealand	Technical Leader, National Topographic Office	0800 665 463 or +64 4 460 0110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51306	omit	LINZ - Land Information New Zealand	National Hydrographer	+64 4 4600110	155 The Terrace	Wellington	6011	New Zealand	customersupport@linz.govt.nz	resourceProvider	
51306	Omit	LINZ - Land Information New Zealand	Nautical Cartographer	0800 665 463 or +64 4 460 0110	155 The Terrace	Wellington	6011	New Zealand	customersupport@linz.govt.nz	pointOfContact	
51774	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51774	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52603	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52603	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53413	omit	LINZ - Land Information New Zealand	None 	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	resourceProvider	
53413	Omit	LINZ - Land Information New Zealand	Data Manager - Topography and Addressing	0800 665 463 or +64 4 460 0110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
50205	omit	LINZ - Land Information New Zealand	Chief Topographer	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	resourceProvider	
50205	Omit	LINZ - Land Information New Zealand	Technical Leader, National Topographic Office	0800 665 463 or +64 4 460 0110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51919	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51919	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51874	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51874	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53621	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53621	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51875	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51875	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52100	omit	LINZ - Land Information New Zealand	Chief Topographer	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	resourceProvider	
52100	Omit	LINZ - Land Information New Zealand	Technical Leader, National Topographic Office	0800 665 463 or +64 4 460 0110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52349	omit	LINZ - Land Information New Zealand	Surveyor-General	04 4600110	155 The Terrace	Wellington	6011	New Zealand	info@linz.govt.nz	resourceProvider	
52349	omit	LINZ - Land Information New Zealand	Surveyor-General	0800 665 463 or +64 4 460 0110	155 The Terrace	Wellington	6011	New Zealand	info@linz.govt.nz	pointOfContact	
51771	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51771	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
50817	omit	LINZ - Land Information New Zealand	None 	04 4600110	155 The Terrace	Wellington	6011	New Zealand	info@linz.govt.nz	resourceProvider	
50817	Omit	LINZ - Land Information New Zealand	Chief Geodesist - National Geodetic Office	+64 4 460 0110	155 The Terrace	Wellington	6011	New Zealand	info@linz.govt.nz	pointOfContact	
50846	omit	LINZ - Land Information New Zealand	National Hydrographer	04 4600110	155 The Terrace	Wellington	6011	New Zealand	customersupport@linz.govt.nz	resourceProvider	
50846	Omit	LINZ - Land Information New Zealand	Nautical Cartographer	0800 665 463 or +64 4 460 0110	155 The Terrace	Wellington	6011	New Zealand	customersupport@linz.govt.nz	pointOfContact	
51772	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51772	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
50781	omit	LINZ - Land Information New Zealand	None 	04 4600110	155 The Terrace	Wellington	6011	New Zealand	info@linz.govt.nz	resourceProvider	
50781	Omit	LINZ - Land Information New Zealand	Data Manager - Customer Systems	+64 4 460 0110	155 The Terrace	Wellington	6011	New Zealand	info@linz.govt.nz	pointOfContact	
53587	None 	LINZ - Land Information New Zealand	Lidar Coordination Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53587	None 	LINZ - Land Information New Zealand	Lidar Coordination Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52350	omit	LINZ - Land Information New Zealand	Surveyor-General	04 4600110	155 The Terrace	Wellington	6011	New Zealand	info@linz.govt.nz	resourceProvider	
52350	omit	LINZ - Land Information New Zealand	Surveyor-General	0800 665 463 or +64 4 460 0110	155 The Terrace	Wellington	6011	New Zealand	info@linz.govt.nz	pointOfContact	
51883	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51883	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51876	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51876	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
50840	omit	LINZ - Land Information New Zealand	None 	04 4600110	155 The Terrace	Wellington	6011	New Zealand	info@linz.govt.nz	resourceProvider	
50840	Omit	LINZ - Land Information New Zealand	Data Manager - Customer Systems	+64 4 460 0110	155 The Terrace	Wellington	6011	New Zealand	info@linz.govt.nz	pointOfContact	
52111	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52111	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51775	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51775	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
50204	omit	LINZ - Land Information New Zealand	Chief Topographer	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	resourceProvider	
50204	Omit	LINZ - Land Information New Zealand	Technical Leader, National Topographic Office	0800 665 463 or +64 4 460 0110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
52054	omit	LINZ - Land Information New Zealand	None 	04 4600110	155 The Terrace	Wellington	6011	New Zealand	info@linz.govt.nz	resourceProvider	
52054	Omit	LINZ - Land Information New Zealand	Data Manager - Customer Systems	+64 4 460 0110	155 The Terrace	Wellington	6011	New Zealand	info@linz.govt.nz	pointOfContact	
53400	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53400	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51295	omit	LINZ - Land Information New Zealand	National Hydrographer	+64 4 4600110	155 The Terrace	Wellington	6011	New Zealand	customersupport@linz.govt.nz	resourceProvider	
51295	Omit	LINZ - Land Information New Zealand	Nautical Cartographer	0800 665 463 or +64 4 460 0110	155 The Terrace	Wellington	6011	New Zealand	customersupport@linz.govt.nz	pointOfContact	
51777	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51777	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51937	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
51937	None 	LINZ - Land Information New Zealand	National Imagery Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
53406	None 	LINZ - Land Information New Zealand	Lidar Coordination Manager	04 4600110	155 The Terrace	Wellington	6145	New Zealand	info@linz.govt.nz	pointOfContact	
